2025-12-19T08:51:33.000000000Z [inf]  Starting Container
2025-12-19T08:51:34.337887570Z [inf]  serving initial configuration
2025-12-19T08:51:34.337897076Z [inf]  cleaning storage unit
2025-12-19T08:51:34.337902483Z [inf]  finished cleaning storage units
2025-12-19T08:51:34.337920399Z [inf]  adapted config to JSON
2025-12-19T08:51:34.337930576Z [wrn]  admin endpoint disabled
2025-12-19T08:51:34.337936468Z [inf]  automatic HTTPS is completely disabled for server
2025-12-19T08:51:34.337941581Z [inf]  started background certificate maintenance
2025-12-19T08:51:34.337946522Z [wrn]  HTTP/2 skipped because it requires TLS
2025-12-19T08:51:34.337952874Z [wrn]  HTTP/3 skipped because it requires TLS
2025-12-19T08:51:34.337958151Z [inf]  server running
2025-12-19T08:51:34.337965125Z [inf]  maxprocs: Updating GOMAXPROCS=2: determined from CPU quota
2025-12-19T08:51:34.337971551Z [inf]  GOMEMLIMIT is updated
2025-12-19T08:51:34.337977385Z [inf]  using config from file
